,STATE,STNAME,COUNTY,CTYNAME,YEAR,AGEGRP,TOT_MALE,TOT_FEMALE,TOT_POP,Year
191,1,Alabama,1,Autauga County,11,1,1728,1636,3364,2018
192,1,Alabama,1,Autauga County,11,2,1779,1644,3423,2018
193,1,Alabama,1,Autauga County,11,3,1977,1905,3882,2018
194,1,Alabama,1,Autauga County,11,4,1913,1842,3755,2018
195,1,Alabama,1,Autauga County,11,5,1629,1544,3173,2018
196,1,Alabama,1,Autauga County,11,6,1830,1875,3705,2018
197,1,Alabama,1,Autauga County,11,7,1659,1802,3461,2018
198,1,Alabama,1,Autauga County,11,8,1767,1861,3628,2018
199,1,Alabama,1,Autauga County,11,9,1717,1899,3616,2018
200,1,Alabama,1,Autauga County,11,10,1912,2054,3966,2018
201,1,Alabama,1,Autauga County,11,11,1845,1966,3811,2018
202,1,Alabama,1,Autauga County,11,12,1956,1971,3927,2018
203,1,Alabama,1,Autauga County,11,13,1496,1741,3237,2018
204,1,Alabama,1,Autauga County,11,14,1228,1361,2589,2018
205,1,Alabama,1,Autauga County,11,15,1019,1292,2311,2018
206,1,Alabama,1,Autauga County,11,16,724,1015,1739,2018
207,1,Alabama,1,Autauga County,11,17,487,656,1143,2018
208,1,Alabama,1,Autauga County,11,18,329,542,871,2018
400,1,Alabama,3,Baldwin County,11,1,6135,5820,11955,2018
401,1,Alabama,3,Baldwin County,11,2,6519,6283,12802,2018
402,1,Alabama,3,Baldwin County,11,3,7049,6932,13981,2018
403,1,Alabama,3,Baldwin County,11,4,6398,6534,12932,2018
404,1,Alabama,3,Baldwin County,11,5,5632,5476,11108,2018
405,1,Alabama,3,Baldwin County,11,6,6145,6326,12471,2018
406,1,Alabama,3,Baldwin County,11,7,5941,6116,12057,2018
407,1,Alabama,3,Baldwin County,11,8,6318,6838,13156,2018
408,1,Alabama,3,Baldwin County,11,9,6261,6616,12877,2018
409,1,Alabama,3,Baldwin County,11,10,7038,7423,14461,2018
410,1,Alabama,3,Baldwin County,11,11,6817,7425,14242,2018
411,1,Alabama,3,Baldwin County,11,12,7416,8328,15744,2018
412,1,Alabama,3,Baldwin County,11,13,7307,8358,15665,2018
413,1,Alabama,3,Baldwin County,11,14,6622,7645,14267,2018
414,1,Alabama,3,Baldwin County,11,15,5974,6497,12471,2018
415,1,Alabama,3,Baldwin County,11,16,3946,4519,8465,2018
416,1,Alabama,3,Baldwin County,11,17,2384,2680,5064,2018
417,1,Alabama,3,Baldwin County,11,18,1755,2549,4304,2018
609,1,Alabama,5,Barbour County,11,1,656,628,1284,2018
610,1,Alabama,5,Barbour County,11,2,717,731,1448,2018
611,1,Alabama,5,Barbour County,11,3,775,734,1509,2018
612,1,Alabama,5,Barbour County,11,4,759,692,1451,2018
613,1,Alabama,5,Barbour County,11,5,871,601,1472,2018
614,1,Alabama,5,Barbour County,11,6,1133,663,1796,2018
615,1,Alabama,5,Barbour County,11,7,992,678,1670,2018
616,1,Alabama,5,Barbour County,11,8,923,608,1531,2018
617,1,Alabama,5,Barbour County,11,9,867,583,1450,2018
618,1,Alabama,5,Barbour County,11,10,929,695,1624,2018
619,1,Alabama,5,Barbour County,11,11,847,756,1603,2018
620,1,Alabama,5,Barbour County,11,12,826,849,1675,2018
