SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,10,1,Delaware,Kent County,1,0,162310,78035,84275
50,10,1,Delaware,Kent County,1,1,11150,5706,5444
50,10,1,Delaware,Kent County,1,2,11286,5724,5562
50,10,1,Delaware,Kent County,1,3,11119,5700,5419
50,10,1,Delaware,Kent County,1,4,12370,6198,6172
50,10,1,Delaware,Kent County,1,5,12237,6138,6099
50,10,1,Delaware,Kent County,1,6,10494,5084,5410
50,10,1,Delaware,Kent County,1,7,9523,4452,5071
50,10,1,Delaware,Kent County,1,8,9824,4608,5216
50,10,1,Delaware,Kent County,1,9,10746,5183,5563
50,10,1,Delaware,Kent County,1,10,12028,5803,6225
50,10,1,Delaware,Kent County,1,11,11149,5267,5882
50,10,1,Delaware,Kent County,1,12,9428,4356,5072
50,10,1,Delaware,Kent County,1,13,8974,4186,4788
50,10,1,Delaware,Kent County,1,14,7244,3342,3902
50,10,1,Delaware,Kent County,1,15,5455,2502,2953
50,10,1,Delaware,Kent County,1,16,4214,1908,2306
50,10,1,Delaware,Kent County,1,17,2666,1118,1548
50,10,1,Delaware,Kent County,1,18,2403,760,1643
50,10,1,Delaware,Kent County,2,0,162349,78057,84292
50,10,1,Delaware,Kent County,2,1,11151,5707,5444
50,10,1,Delaware,Kent County,2,2,11287,5725,5562
50,10,1,Delaware,Kent County,2,3,11123,5702,5421
50,10,1,Delaware,Kent County,2,4,12374,6200,6174
50,10,1,Delaware,Kent County,2,5,12239,6140,6099
50,10,1,Delaware,Kent County,2,6,10498,5087,5411
50,10,1,Delaware,Kent County,2,7,9523,4452,5071
50,10,1,Delaware,Kent County,2,8,9826,4609,5217
50,10,1,Delaware,Kent County,2,9,10749,5184,5565
50,10,1,Delaware,Kent County,2,10,12032,5805,6227
50,10,1,Delaware,Kent County,2,11,11153,5268,5885
50,10,1,Delaware,Kent County,2,12,9429,4357,5072
50,10,1,Delaware,Kent County,2,13,8977,4187,4790
50,10,1,Delaware,Kent County,2,14,7245,3343,3902
50,10,1,Delaware,Kent County,2,15,5455,2502,2953
50,10,1,Delaware,Kent County,2,16,4216,1910,2306
50,10,1,Delaware,Kent County,2,17,2668,1119,1549
50,10,1,Delaware,Kent County,2,18,2404,760,1644
50,10,1,Delaware,Kent County,3,0,162955,78364,84591
50,10,1,Delaware,Kent County,3,1,11154,5699,5455
50,10,1,Delaware,Kent County,3,2,11287,5721,5566
50,10,1,Delaware,Kent County,3,3,11181,5733,5448
50,10,1,Delaware,Kent County,3,4,12296,6183,6113
50,10,1,Delaware,Kent County,3,5,12342,6197,6145
50,10,1,Delaware,Kent County,3,6,10564,5126,5438
50,10,1,Delaware,Kent County,3,7,9616,4486,5130
50,10,1,Delaware,Kent County,3,8,9790,4599,5191
50,10,1,Delaware,Kent County,3,9,10731,5179,5552
50,10,1,Delaware,Kent County,3,10,12020,5794,6226
50,10,1,Delaware,Kent County,3,11,11239,5319,5920
50,10,1,Delaware,Kent County,3,12,9535,4410,5125
50,10,1,Delaware,Kent County,3,13,9046,4228,4818
50,10,1,Delaware,Kent County,3,14,7297,3361,3936
50,10,1,Delaware,Kent County,3,15,5513,2525,2988
50,10,1,Delaware,Kent County,3,16,4219,1900,2319
50,10,1,Delaware,Kent County,3,17,2703,1135,1568
50,10,1,Delaware,Kent County,3,18,2422,769,1653
50,10,1,Delaware,Kent County,4,0,165097,79488,85609
50,10,1,Delaware,Kent County,4,1,11079,5636,5443
50,10,1,Delaware,Kent County,4,2,11301,5736,5565
50,10,1,Delaware,Kent County,4,3,11384,5841,5543
50,10,1,Delaware,Kent County,4,4,12033,6079,5954
50,10,1,Delaware,Kent County,4,5,12869,6459,6410
50,10,1,Delaware,Kent County,4,6,10734,5256,5478
50,10,1,Delaware,Kent County,4,7,9915,4655,5260
50,10,1,Delaware,Kent County,4,8,9544,4475,5069
50,10,1,Delaware,Kent County,4,9,10706,5157,5549
50,10,1,Delaware,Kent County,4,10,11894,5695,6199
50,10,1,Delaware,Kent County,4,11,11508,5512,5996
50,10,1,Delaware,Kent County,4,12,9914,4608,5306
50,10,1,Delaware,Kent County,4,13,9336,4366,4970
50,10,1,Delaware,Kent County,4,14,7529,3468,4061
50,10,1,Delaware,Kent County,4,15,5741,2600,3141
50,10,1,Delaware,Kent County,4,16,4258,1894,2364
50,10,1,Delaware,Kent County,4,17,2861,1228,1633
50,10,1,Delaware,Kent County,4,18,2491,823,1668
50,10,1,Delaware,Kent County,5,0,167288,80700,86588
50,10,1,Delaware,Kent County,5,1,11083,5646,5437
50,10,1,Delaware,Kent County,5,2,11309,5743,5566
50,10,1,Delaware,Kent County,5,3,11443,5830,5613
50,10,1,Delaware,Kent County,5,4,11891,6031,5860
50,10,1,Delaware,Kent County,5,5,13249,6745,6504
50,10,1,Delaware,Kent County,5,6,11108,5487,5621
50,10,1,Delaware,Kent County,5,7,10299,4927,5372
50,10,1,Delaware,Kent County,5,8,9377,4382,4995
50,10,1,Delaware,Kent County,5,9,10636,5051,5585
50,10,1,Delaware,Kent County,5,10,11671,5586,6085
50,10,1,Delaware,Kent County,5,11,11602,5560,6042
50,10,1,Delaware,Kent County,5,12,10343,4819,5524
50,10,1,Delaware,Kent County,5,13,9156,4261,4895
50,10,1,Delaware,Kent County,5,14,8232,3804,4428
50,10,1,Delaware,Kent County,5,15,5989,2717,3272
50,10,1,Delaware,Kent County,5,16,4358,1943,2415
50,10,1,Delaware,Kent County,5,17,3020,1316,1704
50,10,1,Delaware,Kent County,5,18,2522,852,1670
50,10,1,Delaware,Kent County,6,0,169029,81609,87420
50,10,1,Delaware,Kent County,6,1,11058,5709,5349
50,10,1,Delaware,Kent County,6,2,11290,5697,5593
50,10,1,Delaware,Kent County,6,3,11381,5795,5586
50,10,1,Delaware,Kent County,6,4,11834,5979,5855
50,10,1,Delaware,Kent County,6,5,13402,6830,6572
50,10,1,Delaware,Kent County,6,6,11370,5674,5696
50,10,1,Delaware,Kent County,6,7,10585,5097,5488
50,10,1,Delaware,Kent County,6,8,9545,4476,5069
50,10,1,Delaware,Kent County,6,9,10408,4914,5494
50,10,1,Delaware,Kent County,6,10,11282,5402,5880
50,10,1,Delaware,Kent County,6,11,11759,5648,6111
50,10,1,Delaware,Kent County,6,12,10658,4945,5713
50,10,1,Delaware,Kent County,6,13,9219,4262,4957
50,10,1,Delaware,Kent County,6,14,8564,3942,4622
50,10,1,Delaware,Kent County,6,15,6396,2934,3462
50,10,1,Delaware,Kent County,6,16,4545,2030,2515
50,10,1,Delaware,Kent County,6,17,3138,1361,1777
50,10,1,Delaware,Kent County,6,18,2595,914,1681
50,10,1,Delaware,Kent County,7,0,171458,82852,88606
50,10,1,Delaware,Kent County,7,1,11086,5709,5377
50,10,1,Delaware,Kent County,7,2,11259,5739,5520
50,10,1,Delaware,Kent County,7,3,11428,5833,5595
50,10,1,Delaware,Kent County,7,4,11821,5899,5922
50,10,1,Delaware,Kent County,7,5,13567,6967,6600
50,10,1,Delaware,Kent County,7,6,11916,5967,5949
